bankruptid;startdate
127086;2016-11-22
127114;2016-11-22
127210;2016-11-23
127215;2016-11-23
127445;2016-11-25
127502;2016-11-25
127545;2016-11-25
127550;2016-11-25
127584;2016-11-26
127719;2016-11-28
127744;2016-11-28
127745;2016-11-28
127781;2016-11-28
127864;2016-11-29
127889;2016-11-29
127899;2016-11-29
127900;2016-11-29
127956;2016-11-29
128119;2016-12-01
128185;2016-12-01
128190;2016-12-01
128208;2016-12-01
128209;2016-12-01
128245;2016-12-01
128247;2016-12-01
128278;2016-12-02
128307;2016-12-02
128344;2016-12-02
128348;2016-12-02
128384;2016-12-02
128466;2016-12-04
128489;2016-12-04
128509;2016-12-05
128522;2016-12-05
128629;2016-12-05
128655;2016-12-05
128830;2016-12-07
128848;2016-12-07
128924;2016-12-07
128938;2016-12-07
128948;2016-12-07
128974;2016-12-07
128976;2017-02-11
129003;2016-12-08
129039;2016-12-08
129074;2016-12-08
129100;2016-12-09
129108;2016-12-08
129124;2016-12-09
129250;2016-12-09
129261;2016-12-09
129307;2016-12-11
129398;2016-12-12
129404;2016-12-12
129428;2016-12-12
129503;2016-12-12
129521;2016-12-13
129603;2016-12-13
129669;2016-12-14
129759;2016-12-14
129809;2016-12-14
129908;2016-12-15
129920;2016-12-15
129923;2016-12-15
129944;2016-12-15
129950;2016-12-15
130013;2016-12-16
130058;2016-12-16
130102;2016-12-16
130173;2016-12-18
130220;2016-12-19
130231;2016-12-19
130237;2016-12-19
130294;2016-12-19
130360;2016-12-19
130378;2016-12-19
130417;2016-12-20
130474;2016-12-20
130480;2016-12-20
130481;2016-12-20
130485;2016-12-20
130491;2016-12-20
130502;2016-12-20
130514;2016-12-20
130635;2016-12-21
130681;2016-12-21
130731;2016-12-22
130742;2016-12-22
130781;2016-12-22
130804;2016-12-22
130810;2016-12-22
130842;2016-12-22
130860;2016-12-23
130892;2016-12-23
130897;2016-12-23
130937;2016-12-23
131006;2016-12-23
131049;2016-12-24
131422;2016-12-27
131427;2016-12-29
131500;2016-12-28
131516;2016-12-28
131531;2016-12-28
131654;2016-12-29
131655;2016-12-29
131671;2016-12-29
131673;2016-12-29
131674;2016-12-29
131718;2016-12-29
131736;2016-12-29
131774;2016-12-30
131829;2016-12-31
131882;2017-01-07
131899;2017-01-09
131910;2017-01-09
131934;2017-01-09
132094;2017-01-11
132104;2017-01-11
132121;2017-01-11
132174;2017-01-12
132182;2017-01-12
132195;2017-01-12
132217;2017-01-12
132240;2017-01-12
132256;2017-01-13
132268;2017-01-13
132297;2017-01-13
132301;2017-01-13
132308;2017-01-13
132351;2017-01-13
132385;2017-01-15
132393;2017-01-15
132505;2017-01-16
132587;2017-01-17
132603;2017-01-18
132629;2017-01-17
132635;2017-01-17
132676;2017-01-18
132681;2017-01-18
132840;2017-01-19
132868;2017-01-19
132878;2017-01-19
132899;2017-01-19
132908;2017-01-19
132989;2017-01-20
133026;2017-01-20
133036;2017-01-20
133063;2017-01-20
133089;2017-01-21
133092;2017-01-21
133100;2017-01-22
133177;2017-01-23
133309;2017-01-23
133355;2017-01-23
133382;2017-01-24
133396;2017-01-24
133635;2017-01-25
133668;2017-01-25
133720;2017-01-26
133810;2017-01-26
133849;2017-01-27
133955;2017-01-27
133979;2017-01-27
134044;2017-01-29
134104;2017-01-30
134201;2017-01-30
134267;2017-01-31
134331;2017-01-31
134342;2017-01-31
134407;2017-02-01
134432;2017-02-01
134486;2017-02-01
134491;2017-02-01
134497;2017-02-01
134509;2017-02-01
134545;2017-02-02
134602;2017-02-02
134659;2017-02-02
134667;2017-02-02
134676;2017-02-03
134704;2017-02-03
134756;2017-02-03
134794;2017-02-03
134811;2017-02-04
134840;2017-02-04
134844;2017-02-04
134867;2017-02-05
134875;2017-02-05
134896;2017-02-06
134921;2017-02-06
134969;2017-02-06
134995;2017-02-06
135016;2017-02-06
135024;2017-02-06
135034;2017-02-06
135050;2017-02-06
135110;2017-02-07
135130;2017-02-07
135139;2017-02-07
135166;2017-02-07
135196;2017-02-07
135197;2017-02-07
135211;2017-02-07
135214;2017-02-08
135291;2017-02-08
135302;2018-08-30
135442;2017-02-09
135452;2017-02-09
135453;2017-02-09
135481;2017-02-09
135489;2017-02-09
135537;2017-02-10
135606;2017-02-10
135638;2017-02-10
135688;2017-02-11
135692;2017-02-12
135693;2017-02-12
135731;2017-02-12
135821;2017-02-13
135830;2017-02-13
135847;2017-02-13
135856;2017-02-13
135860;2017-02-13
135877;2017-02-13
135904;2017-02-14
135976;2017-02-14
135991;2017-02-14
136044;2018-08-16
136119;2017-02-15
136134;2017-02-15
136220;2017-02-16
136263;2017-02-16
136413;2017-02-17
136475;2017-02-19
136485;2017-02-19
136491;2017-02-19
136494;2017-02-19
136498;2017-02-19
136574;2017-02-20
136668;2017-02-20
136690;2017-02-21
136817;2017-02-22
136928;2017-02-23
136935;2017-02-23
137024;2017-02-25
137160;2017-02-27
137184;2017-02-27
137315;2017-02-28
137330;2017-02-28
137361;2017-02-28
137368;2017-03-01
137474;2017-03-01
137495;2017-03-01
137497;2017-03-01
137541;2017-03-02
137578;2017-03-02
137580;2017-03-02
137611;2017-03-02
137622;2017-03-02
137626;2017-03-02
137721;2020-06-23
137751;2017-03-03
137763;2017-03-03
137808;2017-03-03
137814;2017-03-03
137824;2017-03-03
137834;2017-03-03
137841;2017-03-03
137842;2017-03-03
137844;2017-03-03
137882;2017-03-04
137910;2017-03-05
137926;2017-03-05
137957;2017-03-06
137998;2017-03-06
138009;2017-03-06
138074;2017-03-06
138075;2017-03-06
138249;2017-03-07
138317;2017-03-07
138320;2017-03-07
138346;2017-03-08
138490;2017-03-09
138497;2017-03-09
138501;2017-03-09
138539;2017-03-09
138564;2017-03-09
138628;2017-03-10
138679;2017-03-10
138734;2017-03-11
138778;2017-03-13
138898;2017-03-13
138942;2017-03-13
138962;2017-03-13
139000;2017-06-22
139024;2017-10-09
139047;2017-03-14
139075;2017-03-14
139077;2017-03-15
139149;2017-03-15
139192;2017-03-15
139315;2017-03-16
139344;2017-03-16
139368;2017-03-16
139530;2017-03-18
139560;2017-03-18
139669;2017-03-20
139689;2017-03-20
139696;2017-03-20
139786;2017-03-20
139789;2017-03-20
139804;2017-03-21
139822;2017-03-21
139861;2017-03-21
139863;2017-03-21
139881;2017-03-21
139931;2017-03-21
139950;2017-03-22
139979;2017-03-22
139989;2017-03-22
140009;2017-03-22
140041;2017-03-22
140104;2017-03-23
140136;2017-03-23
140158;2017-03-23
140179;2017-03-23
140209;2017-03-23
140285;2017-03-24
140335;2017-03-24
140383;2017-03-24
140386;2017-03-24
140536;2017-03-27
140620;2017-03-27
140628;2017-03-27
140630;2017-03-27
140696;2017-03-28
140721;2017-03-28
140755;2017-03-28
140769;2017-03-28
140788;2017-12-07
140846;2017-03-29
140873;2017-03-29
140987;2017-08-21
